id|studentName|phone|email
1|BurkeDifferentName|1-300-746-8446|ullamcorper.velit.in@ametnullaDonec.co.uk
2|KamalDifferentName|1-668-571-5046|pede.Suspendisse@interdumenim.edu
3|Olga|1-956-311-1686|Aenean.eget.metus@dictumcursusNuncDifferentEmail.edu
4|BelleDifferentName|1-246-894-6340|vitae.aliquet.nec@neque.co.uk
5|Trevor|1-300-527-4967|dapibusDifferentEmail.id@acturpisegestas.net
6|LaurelInvalidPhone|000000000|adipiscing@consectetueripsum.edu
7|Sara|1-608-140-1995|Donec.nibh@enimEtiamimperdiet.edu
8|Kaseem|1-881-586-2689|cursus.et.magna@euismod.org
9|Lev|1-916-367-5608|Vivamus.nisi@ipsumdolor.com
10|Maya|1-271-683-2698|accumsan.convallis@ornarelectusjusto.edu
999|LevUniqueToSecondRDD|1-916-367-5608|Vivamus.nisi@ipsumdolor.com
